time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,pressure_msl,shortwave_radiation
2022-01-01 00:00:00,12.7,91,0.0,19.4,1020.8,0.0
2022-01-01 01:00:00,12.7,93,0.0,17.6,1020.7,0.0
2022-01-01 02:00:00,12.8,93,0.0,19.0,1020.4,0.0
2022-01-01 03:00:00,12.5,93,0.0,17.9,1020.2,0.0
2022-01-01 04:00:00,12.3,92,0.0,18.6,1020.4,0.0
2022-01-01 05:00:00,11.9,93,0.0,20.3,1020.0,0.0
2022-01-01 06:00:00,11.8,92,0.0,18.8,1019.2,0.0
2022-01-01 07:00:00,11.7,91,0.0,17.9,1018.3,0.0
2022-01-01 08:00:00,12.2,88,0.0,20.3,1017.7,0.0
2022-01-01 09:00:00,12.3,84,0.0,21.7,1017.4,0.0
2022-01-01 10:00:00,12.5,81,0.0,22.7,1017.8,17.0
2022-01-01 11:00:00,13.3,74,0.0,25.0,1018.2,88.0
2022-01-01 12:00:00,14.2,71,0.0,24.8,1018.2,165.0
2022-01-01 13:00:00,14.8,76,0.0,18.4,1017.8,163.0
2022-01-01 14:00:00,14.9,77,0.0,19.0,1016.5,172.0
2022-01-01 15:00:00,14.4,80,0.2,22.5,1016.3,93.0
2022-01-01 16:00:00,13.7,81,0.0,25.3,1016.5,56.0
2022-01-01 17:00:00,13.1,84,0.0,23.1,1016.4,14.0
2022-01-01 18:00:00,13.2,83,0.0,23.0,1016.2,0.0
2022-01-01 19:00:00,13.0,87,0.0,22.1,1015.9,0.0
2022-01-01 20:00:00,13.2,87,0.0,22.1,1015.6,0.0
2022-01-01 21:00:00,12.9,89,0.0,21.7,1015.4,0.0
2022-01-01 22:00:00,12.9,90,0.0,21.4,1015.3,0.0
2022-01-01 23:00:00,13.1,90,0.0,20.9,1015.1,0.0
2022-01-02 00:00:00,13.1,89,0.0,20.7,1014.3,0.0
2022-01-02 01:00:00,12.6,94,0.0,18.8,1013.3,0.0
2022-01-02 02:00:00,12.5,94,0.0,18.4,1012.6,0.0
2022-01-02 03:00:00,12.5,93,0.0,16.8,1011.5,0.0
