time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,pressure_msl,shortwave_radiation
2022-01-01 00:00:00,-6.3,77,0.0,10.4,1023.1,0.0
2022-01-01 01:00:00,-6.4,76,0.0,9.7,1023.3,0.0
2022-01-01 02:00:00,-8.3,82,0.0,10.4,1023.6,0.0
2022-01-01 03:00:00,-8.1,82,0.0,9.4,1024.1,0.0
2022-01-01 04:00:00,-7.9,81,0.0,8.7,1024.5,0.0
2022-01-01 05:00:00,-6.2,73,0.0,6.2,1025.1,0.0
2022-01-01 06:00:00,-5.1,75,0.0,7.2,1024.9,0.0
2022-01-01 07:00:00,-4.7,76,0.0,5.9,1025.2,0.0
2022-01-01 08:00:00,-4.3,76,0.0,6.3,1025.2,0.0
2022-01-01 09:00:00,-4.6,76,0.0,7.2,1025.1,0.0
2022-01-01 10:00:00,-4.1,75,0.0,7.8,1025.4,35.0
2022-01-01 11:00:00,-3.1,75,0.0,11.2,1025.4,134.0
2022-01-01 12:00:00,-2.4,75,0.0,13.1,1024.4,234.0
2022-01-01 13:00:00,-1.5,72,0.0,12.4,1023.5,286.0
2022-01-01 14:00:00,-0.8,70,0.0,13.9,1022.3,298.0
2022-01-01 15:00:00,0.2,67,0.0,12.5,1021.7,230.0
2022-01-01 16:00:00,1.1,71,0.0,12.7,1021.4,113.0
2022-01-01 17:00:00,0.8,75,0.0,14.5,1022.1,32.0
2022-01-01 18:00:00,0.6,74,0.0,14.1,1021.4,4.0
2022-01-01 19:00:00,1.1,72,0.0,15.1,1020.7,0.0
2022-01-01 20:00:00,1.3,72,0.0,16.1,1020.2,0.0
2022-01-01 21:00:00,1.3,74,0.0,17.7,1019.4,0.0
2022-01-01 22:00:00,1.0,74,0.0,16.3,1018.7,0.0
2022-01-01 23:00:00,0.6,74,0.0,15.4,1018.0,0.0
2022-01-02 00:00:00,0.5,71,0.0,19.3,1017.3,0.0
2022-01-02 01:00:00,0.8,69,0.0,21.3,1016.3,0.0
2022-01-02 02:00:00,0.5,68,0.0,20.5,1015.6,0.0
2022-01-02 03:00:00,0.7,67,0.0,20.2,1015.1,0.0
2022-01-02 04:00:00,1.2,66,0.0,21.1,1014.8,0.0
2022-01-02 05:00:00,-1.6,71,0.0,14.7,1015.3,0.0
2022-01-02 06:00:00,-0.8,69,0.0,14.2,1014.6,0.0
2022-01-02 07:00:00,-0.5,70,0.0,14.7,1014.1,0.0
2022-01-02 08:00:00,-0.0,69,0.0,17.1,1013.5,0.0
2022-01-02 09:00:00,1.0,67,0.3,19.2,1012.3,0.0
2022-01-02 10:00:00,2.7,68,0.4,22.2,1010.8,10.0
2022-01-02 11:00:00,3.1,77,0.3,17.4,1009.9,64.0
2022-01-02 12:00:00,3.0,83,0.2,13.8,1009.2,94.0
2022-01-02 13:00:00,3.6,82,1.4,16.2,1008.5,88.0
2022-01-02 14:00:00,3.5,75,0.0,17.4,1007.3,92.0
2022-01-02 15:00:00,2.4,76,0.0,20.0,1005.9,69.0
2022-01-02 16:00:00,2.5,76,2.8,21.2,1005.1,70.0
2022-01-02 17:00:00,3.9,73,1.4,23.4,1004.0,23.0
2022-01-02 18:00:00,2.1,82,2.4,20.9,1003.4,2.0
2022-01-02 19:00:00,1.4,83,2.7,17.4,1002.6,0.0
2022-01-02 20:00:00,1.5,86,1.9,14.7,1001.9,0.0
2022-01-02 21:00:00,0.9,88,3.6,15.3,1001.7,0.0
2022-01-02 22:00:00,0.7,91,6.2,19.0,1001.0,0.0
2022-01-02 23:00:00,0.8,91,7.7,21.9,1000.6,0.0
2022-01-03 00:00:00,0.8,90,7.0,26.1,999.5,0.0
2022-01-03 01:00:00,0.9,88,3.6,22.4,998.7,0.0
2022-01-03 02:00:00,1.7,89,1.8,21.9,997.0,0.0
2022-01-03 03:00:00,1.3,90,3.3,22.2,997.4,0.0
2022-01-03 04:00:00,2.3,85,1.2,26.4,997.3,0.0
2022-01-03 05:00:00,1.6,91,0.4,23.6,997.6,0.0
2022-01-03 06:00:00,2.1,85,3.3,22.3,996.8,0.0
2022-01-03 07:00:00,3.2,83,0.2,21.1,996.7,0.0
2022-01-03 08:00:00,3.0,81,0.2,16.3,996.1,0.0
2022-01-03 09:00:00,3.4,85,1.6,24.2,997.0,0.0
2022-01-03 10:00:00,3.4,86,1.0,21.3,997.2,18.0
2022-01-03 11:00:00,3.1,88,0.3,22.8,997.7,66.0
2022-01-03 12:00:00,3.1,90,0.0,28.6,998.4,209.0
2022-01-03 13:00:00,2.9,90,0.1,28.9,999.0,182.0
2022-01-03 14:00:00,2.7,90,0.1,29.2,999.7,276.0
2022-01-03 15:00:00,2.9,88,0.0,25.9,1000.3,216.0
2022-01-03 16:00:00,2.7,86,0.0,22.6,1001.0,185.0
2022-01-03 17:00:00,3.0,85,0.0,19.2,1002.1,81.0
2022-01-03 18:00:00,2.2,87,0.0,14.8,1002.5,5.0
2022-01-03 19:00:00,1.9,88,0.0,16.6,1003.2,0.0
2022-01-03 20:00:00,1.7,88,0.0,17.3,1003.9,0.0
2022-01-03 21:00:00,1.4,87,0.0,16.9,1005.0,0.0
2022-01-03 22:00:00,1.0,87,0.0,15.6,1005.8,0.0
2022-01-03 23:00:00,0.9,86,0.0,15.9,1007.1,0.0
2022-01-04 00:00:00,0.9,85,0.0,16.7,1008.0,0.0
2022-01-04 01:00:00,1.2,84,0.0,17.0,1008.8,0.0
2022-01-04 02:00:00,1.7,83,0.0,18.1,1009.8,0.0
2022-01-04 03:00:00,2.0,84,0.0,19.5,1010.9,0.0
2022-01-04 04:00:00,2.5,82,0.0,23.8,1011.6,0.0
2022-01-04 05:00:00,2.1,79,0.0,22.0,1011.9,0.0
2022-01-04 06:00:00,1.9,84,0.9,27.0,1012.2,0.0
2022-01-04 07:00:00,2.5,84,0.9,30.5,1012.7,0.0
2022-01-04 08:00:00,2.8,85,0.0,28.5,1013.9,0.0
2022-01-04 09:00:00,2.4,86,0.0,21.1,1014.9,0.0
2022-01-04 10:00:00,2.4,86,0.0,19.8,1015.8,38.0
2022-01-04 11:00:00,3.3,85,0.0,20.9,1016.2,139.0
2022-01-04 12:00:00,4.0,82,0.0,19.5,1016.5,236.0
2022-01-04 13:00:00,4.8,80,0.0,17.3,1016.0,262.0
2022-01-04 14:00:00,4.8,82,0.3,18.9,1015.9,197.0
2022-01-04 15:00:00,4.9,83,0.0,19.0,1015.9,162.0
2022-01-04 16:00:00,4.8,82,0.0,17.8,1015.8,144.0
2022-01-04 17:00:00,4.1,83,0.0,19.1,1015.5,39.0
2022-01-04 18:00:00,4.0,83,0.1,17.5,1015.4,2.0
2022-01-04 19:00:00,3.6,83,0.1,14.0,1014.8,0.0
2022-01-04 20:00:00,3.7,84,0.2,14.9,1014.3,0.0
2022-01-04 21:00:00,3.9,86,0.0,15.6,1014.0,0.0
2022-01-04 22:00:00,4.1,89,0.0,14.8,1013.9,0.0
2022-01-04 23:00:00,4.0,92,0.0,7.2,1014.6,0.0
2022-01-05 00:00:00,4.0,92,0.0,6.5,1015.2,0.0
2022-01-05 01:00:00,3.7,92,0.0,10.3,1016.1,0.0
2022-01-05 02:00:00,3.5,92,0.0,6.5,1017.0,0.0
2022-01-05 03:00:00,3.5,92,0.0,6.9,1018.3,0.0
2022-01-05 04:00:00,3.4,90,0.0,5.1,1019.2,0.0
2022-01-05 05:00:00,3.2,89,0.1,10.5,1020.4,0.0
2022-01-05 06:00:00,3.2,91,0.1,8.4,1020.9,0.0
2022-01-05 07:00:00,2.8,96,0.4,3.5,1021.5,0.0
2022-01-05 08:00:00,2.6,95,0.4,3.5,1021.9,0.0
2022-01-05 09:00:00,2.3,95,0.2,3.6,1022.4,0.0
2022-01-05 10:00:00,2.5,94,0.1,3.4,1022.9,8.0
2022-01-05 11:00:00,3.0,94,0.3,3.8,1023.4,33.0
2022-01-05 12:00:00,3.4,92,0.4,4.3,1023.7,77.0
2022-01-05 13:00:00,3.6,86,0.2,7.4,1023.2,74.0
2022-01-05 14:00:00,3.3,92,0.2,7.6,1022.1,74.0
2022-01-05 15:00:00,2.9,93,0.3,8.7,1021.7,66.0
2022-01-05 16:00:00,2.7,94,0.4,6.5,1021.2,46.0
2022-01-05 17:00:00,1.5,96,0.5,9.7,1021.4,23.0
2022-01-05 18:00:00,1.2,97,0.5,9.9,1020.6,1.0
2022-01-05 19:00:00,1.1,96,0.9,9.4,1019.8,0.0
2022-01-05 20:00:00,1.0,96,0.8,7.9,1018.6,0.0
2022-01-05 21:00:00,1.0,96,0.5,7.7,1017.4,0.0
2022-01-05 22:00:00,0.9,96,0.4,9.7,1016.0,0.0
2022-01-05 23:00:00,1.1,96,0.9,5.6,1014.4,0.0
2022-01-06 00:00:00,1.2,95,2.0,8.3,1012.9,0.0
2022-01-06 01:00:00,1.6,90,2.4,13.4,1010.7,0.0
2022-01-06 02:00:00,2.1,89,2.4,9.7,1009.5,0.0
2022-01-06 03:00:00,2.2,91,2.8,8.9,1008.6,0.0
2022-01-06 04:00:00,2.2,92,1.9,9.4,1007.7,0.0
2022-01-06 05:00:00,1.5,91,1.6,8.0,1008.3,0.0
2022-01-06 06:00:00,1.3,92,2.8,22.2,1006.7,0.0
